id,name,price,quantity,image_url,description
1,"Salmon Poke Bowl",14.50,50,"https://images.unsplash.com/photo-1604259596863-57153177d40b?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Sushi rice, raw salmon, avocado, edamame, and mango."
2,"Quinoa Buddha Bowl",12.50,50,"https://images.unsplash.com/photo-1679279726937-122c49626802?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Quinoa, roasted chickpeas, sweet potato, and kale."
3,"Greek Salad",10.50,50,"https://images.unsplash.com/photo-1599021419847-d8a7a6aba5b4?q=80&w=979&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Feta cheese, olives, cucumber, tomatoes, and red onion."
4,"Lentil Salad with Goat Cheese",11.00,50,"https://plus.unsplash.com/premium_photo-1699881082655-ce3f5590b380?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Brown lentils, goat cheese, walnuts, and balsamic vinaigrette."
5,"Chicken Caesar Salad",12.00,50,"https://images.unsplash.com/photo-1580013759032-c96505e24c1f?q=80&w=909&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Grilled chicken, romaine lettuce, parmesan, and croutons."
6,"Vegan Tofu Scramble Bowl",11.50,50,"https://images.unsplash.com/photo-1631255325918-1ca2886508a5?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Turmeric-spiced tofu with black beans and avocado."
7,"Teriyaki Chicken Bowl",13.00,50,"https://images.unsplash.com/photo-1706703200723-822e740c7e6b?q=80&w=735&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Grilled chicken in teriyaki sauce with rice and broccoli."
8,"Halloumi & Couscous Salad",12.50,50,"https://images.unsplash.com/photo-1673960802455-ec189a6207e5?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Grilled halloumi, couscous, mint, and pomegranate seeds."
9,"Chicken Caesar Wrap",11.75,40,"https://images.unsplash.com/photo-1589927986089-35812388d1bd","Grilled chicken, romaine lettuce, parmesan, and Caesar dressing in a wrap."
10,"Tofu Stir Fry",13.00,45,"https://images.unsplash.com/photo-1613145998301-d1c44b17c67b","Crispy tofu with broccoli, bell peppers, and sesame sauce over rice."
11,"Beef Burrito",12.25,50,"https://images.unsplash.com/photo-1601924638867-3ec4e67b7d5e","Seasoned beef, rice, beans, cheese, and salsa in a flour tortilla."
12,"Vegan Pad Thai",13.50,50,"https://images.unsplash.com/photo-1625944230944-13d6e3b8d37d","Rice noodles, tofu, peanuts, bean sprouts, and tamarind sauce."
13,"Shrimp Tacos",14.00,30,"https://images.unsplash.com/photo-1613141449686-80250743a5a7","Grilled shrimp, cabbage slaw, avocado, and spicy mayo in corn tortillas."
14,"Mushroom Risotto",15.25,35,"https://images.unsplash.com/photo-1627308595229-7830a5c91f9f","Creamy risotto with wild mushrooms, parmesan, and fresh herbs."
15,"BBQ Pulled Pork Sandwich",12.75,40,"https://images.unsplash.com/photo-1562967916-eb82221dfb36","Slow-cooked pulled pork with BBQ sauce on a toasted bun with coleslaw."
16,"Caprese Sandwich",11.25,50,"https://images.unsplash.com/photo-1568605114967-8130f3a36994","Fresh mozzarella, tomatoes, basil, and balsamic glaze on ciabatta."
17,"Korean Bibimbap",14.95,45,"https://images.unsplash.com/photo-1578683010236-d716f9a3f3e1","Steamed rice topped with beef, vegetables, egg, and gochujang sauce."
18,"Spaghetti Carbonara",13.50,40,"","Pasta with pancetta, eggs, parmesan, and black pepper."
19,"Chickpea Curry",11.00,50,"","Spiced chickpeas in a tomato-based curry sauce served with rice."
20,"Avocado Toast",9.75,60,"","Sourdough bread topped with smashed avocado, chili flakes, and lime."
21,"Teriyaki Chicken Bowl",12.95,45,"","Grilled chicken with teriyaki sauce, rice, and steamed veggies."
22,"Falafel Wrap",10.50,55,"","Falafel, hummus, lettuce, tomato, and tahini in a pita wrap."
23,"Mac and Cheese",10.00,50,"","Creamy cheddar macaroni topped with toasted breadcrumbs."
24,"Grilled Cheese Sandwich",8.75,60,"","Toasted bread with melted cheddar and mozzarella cheese."
25,"Chicken Tikka Masala",13.25,40,"","Marinated chicken in creamy tomato sauce with basmati rice."
26,"Miso Ramen",14.00,35,"","Ramen noodles in miso broth with tofu, corn, and green onions."
27,"Eggplant Parmesan",12.00,45,"","Breaded eggplant slices baked with marinara and mozzarella."
28,"Zucchini Noodle Bowl",11.50,50,"","Zoodles with cherry tomatoes, pesto, and pine nuts."
29,"Buffalo Chicken Salad",12.75,40,"","Spicy chicken on greens with ranch dressing and croutons."
30,"Pesto Pasta",11.95,50,"","Penne pasta tossed in fresh basil pesto sauce."
31,"BBQ Jackfruit Sandwich",12.00,50,"","Pulled jackfruit in BBQ sauce on a bun with slaw."
32,"Turkey Club Sandwich",11.50,45,"","Sliced turkey, bacon, lettuce, tomato, and mayo on toast."
33,"Stuffed Bell Peppers",13.00,40,"","Peppers filled with rice, beans, vegetables, and cheese."
34,"Veggie Quesadilla",10.50,55,"","Grilled tortilla filled with cheese, peppers, and onions."
35,"Lentil Soup",9.25,60,"","Hearty lentil soup with vegetables and herbs."
36,"Tuna Nicoise Salad",13.75,35,"","Tuna, potatoes, olives, eggs, and green beans on greens."
37,"Spinach Lasagna",12.50,45,"","Layers of pasta, spinach, ricotta, and marinara sauce."
38,"Banh Mi Sandwich",11.75,50,"","Vietnamese sandwich with pork, pickled veggies, and cilantro."
39,"Kale Caesar Salad",10.25,55,"","Kale with Caesar dressing, croutons, and parmesan."
40,"Bulgogi Beef Bowl",14.25,40,"","Korean marinated beef with rice and kimchi."
41,"Cobb Salad",12.50,45,"","Greens topped with bacon, egg, chicken, avocado, and blue cheese."
42,"Vegan Chili",11.00,50,"","Slow-cooked beans, tomatoes, and veggies with spices."
43,"Fish and Chips",14.50,30,"","Battered fish with fries and tartar sauce."
44,"Gnocchi with Marinara",12.25,45,"","Potato gnocchi in house-made marinara sauce."
45,"Roasted Veggie Bowl",11.75,50,"","Quinoa topped with roasted seasonal vegetables."
46,"Breakfast Burrito",10.95,55,"","Eggs, cheese, potatoes, and salsa wrapped in a tortilla."
47,"Thai Green Curry",13.50,40,"","Spicy coconut curry with vegetables and tofu."
48,"Margherita Pizza",11.25,35,"","Tomato sauce, mozzarella, and fresh basil on thin crust."
49,"Beet and Goat Cheese Salad",12.00,50,"","Roasted beets, goat cheese, arugula, and walnuts."
50,"Pumpkin Soup",9.50,60,"","Creamy pumpkin soup with a hint of nutmeg and ginger."
51,"BBQ Chicken Pizza",13.75,40,"","Pizza with BBQ sauce, grilled chicken, red onion, and mozzarella."
52,"Vegan Burrito Bowl",12.00,50,"","Brown rice, black beans, tofu, corn, and guacamole."
53,"Grilled Salmon",15.95,35,"","Herb-seasoned salmon fillet with lemon and asparagus."
54,"Stuffed Zucchini Boats",11.50,45,"","Zucchini halves filled with quinoa, veggies, and tomato sauce."
55,"Chicken Shawarma Plate",13.25,50,"","Grilled chicken with rice, salad, and garlic sauce."
56,"Cauliflower Tacos",11.00,55,"","Spicy roasted cauliflower, slaw, and chipotle crema in corn tortillas."
57,"Mango Chicken Salad",12.50,50,"","Mixed greens with grilled chicken, mango, and citrus dressing."
58,"Beef Stroganoff",14.00,40,"","Tender beef with mushrooms in a creamy sauce over noodles."
59,"Sweet Potato Fries",7.50,70,"","Crispy baked sweet potato fries with seasoning."
60,"Ricotta Pancakes",10.25,60,"","Fluffy ricotta pancakes topped with berries and maple syrup."
61,"Spicy Tofu Bowl",12.25,45,"","Fried tofu with chili sauce, rice, and steamed greens."
62,"Turkey Meatballs",13.00,50,"","Baked turkey meatballs in marinara with parmesan."
63,"Asian Noodle Salad",11.75,50,"","Chilled noodles with veggies, sesame dressing, and peanuts."
64,"Crispy Chicken Sandwich",12.95,40,"","Fried chicken breast with pickles and slaw on a bun."
65,"Lemon Herb Couscous",9.95,55,"","Light couscous salad with lemon, parsley, and cucumber."
66,"Chili Garlic Shrimp",14.50,35,"","Shrimp sautéed in chili garlic sauce with jasmine rice."
67,"Breakfast Bowl",11.00,60,"","Scrambled eggs, roasted potatoes, avocado, and salsa."
68,"Tomato Basil Pasta",11.25,50,"","Pasta tossed in fresh tomato and basil sauce."
69,"Mushroom Tacos",10.75,55,"","Sautéed mushrooms with onion, cheese, and cilantro in soft tortillas."
70,"Ginger Beef Stir Fry",13.75,45,"","Beef strips stir-fried with ginger, garlic, and mixed vegetables."
71,"Butternut Squash Risotto",12.50,40,"","Creamy risotto with roasted butternut squash and sage."
72,"Chicken Enchiladas",13.00,50,"","Tortillas filled with chicken, cheese, and red enchilada sauce."
73,"Bruschetta",8.50,65,"","Toasted bread topped with tomato, garlic, basil, and olive oil."
74,"Pasta Primavera",11.95,50,"","Pasta with seasonal vegetables in light cream sauce."
75,"Egg Fried Rice",10.00,60,"","Fried rice with egg, green onions, and soy sauce."
76,"Mediterranean Wrap",12.00,55,"","Wrap with hummus, cucumber, olives, and grilled veggies."
77,"Spinach Artichoke Pasta",13.25,45,"","Pasta in a creamy spinach and artichoke sauce."
78,"Thai Basil Chicken",13.75,50,"","Ground chicken with basil, chilies, and rice."
79,"Roasted Tomato Soup",9.25,60,"","Rich roasted tomato soup with garlic and herbs."
80,"Peri Peri Chicken",14.50,45,"","Spicy grilled chicken with peri peri sauce and roasted vegetables."
81,"Vegan Lasagna",13.25,50,"","Layers of pasta, tofu ricotta, marinara, and spinach."
82,"Sesame Noodle Bowl",11.50,55,"","Cold noodles with sesame sauce, cucumber, and carrots."
83,"Chicken Katsu Curry",14.95,40,"","Breaded chicken cutlet served with Japanese curry and rice."
84,"Tofu Banh Mi",12.00,50,"","Crispy tofu, pickled vegetables, and cilantro on a baguette."
85,"Shrimp Fried Rice",13.50,50,"","Wok-fried rice with shrimp, egg, peas, and carrots."
86,"Broccoli Cheddar Soup",10.25,60,"","Creamy soup made with broccoli and sharp cheddar cheese."
87,"Fajita Bowl",12.75,50,"","Grilled peppers, onions, chicken, and rice with fajita seasoning."
88,"Lamb Gyro",13.00,40,"","Sliced lamb, tzatziki, tomatoes, and onions in pita bread."
89,"Tempeh Stir Fry",11.95,55,"","Stir-fried tempeh with mixed vegetables and soy glaze."
90,"French Onion Soup",10.50,60,"","Rich onion soup topped with croutons and melted cheese."
91,"Vegetable Tagine",12.25,45,"","Moroccan stew with root vegetables and chickpeas."
92,"BBQ Cauliflower Bites",9.75,70,"","Baked cauliflower tossed in smoky BBQ sauce."
93,"Ratatouille",11.50,50,"","French vegetable stew with zucchini, eggplant, and peppers."
94,"Katsu Sando",13.75,40,"","Japanese sandwich with crispy chicken and tonkatsu sauce."
95,"Chicken Gyro Bowl",13.25,45,"","Grilled chicken, rice, salad, and tzatziki sauce."
96,"Vegan Pancakes",10.00,60,"","Fluffy plant-based pancakes with maple syrup."
97,"Harissa Chickpeas",11.25,50,"","Spicy chickpeas simmered in harissa tomato sauce."
98,"Fried Plantains",8.50,70,"","Sweet and crispy fried ripe plantains."
99,"Creamy Polenta Bowl",12.00,50,"","Polenta topped with mushrooms, herbs, and parmesan."
100,"Mujadara",10.75,55,"","Lentils and rice topped with caramelized onions."
101,"Kale and Quinoa Salad",11.95,50,"","Shredded kale, quinoa, cranberries, and citrus vinaigrette."
102,"Spinach Feta Wrap",11.00,60,"","Spinach, feta cheese, and egg wrapped in a tortilla."
103,"Peanut Tofu Bowl",12.50,50,"","Tofu, rice, and vegetables with peanut sauce."
104,"Tortilla Soup",10.25,55,"","Spicy tomato-based soup with tortilla strips and avocado."
105,"Crispy Brussels Sprouts",9.95,65,"","Roasted Brussels sprouts tossed in balsamic glaze."
106,"Halloumi Wrap",12.75,45,"","Grilled halloumi, roasted peppers, and greens in a wrap."
107,"Eggplant Wrap",11.00,50,"","Grilled eggplant, tahini, and greens in a whole wheat wrap."
108,"Green Goddess Bowl",13.25,40,"","Greens, avocado, edamame, cucumber, and green goddess dressing."
109,"Coconut Lentil Curry",11.50,50,"","Creamy red lentil curry with coconut milk and spices."
110,"Cold Brew Coffee",4.50,100,"","Slow-steeped cold brew coffee served over ice."
111,"Matcha Latte",5.00,80,"","Creamy green tea latte made with ceremonial grade matcha."
112,"Iced Chai Latte",4.75,90,"","Spiced black tea blended with milk and served over ice."
113,"Fresh Orange Juice",3.95,100,"","Freshly squeezed orange juice with no added sugar."
114,"Sparkling Lemonade",3.50,85,"","Homemade lemonade with sparkling water and mint."
115,"Mango Smoothie",5.25,70,"","Mango blended with yogurt, banana, and a touch of honey."
116,"Berry Blast Smoothie",5.50,70,"","Mixed berries, banana, and almond milk smoothie."
117,"Espresso",2.50,120,"","Single shot of rich, strong espresso."
118,"Cappuccino",3.75,100,"","Espresso with steamed milk and foam."
119,"Latte",4.00,95,"","Espresso blended with steamed milk and light foam."
120,"Herbal Tea",2.75,110,"","Caffeine-free herbal tea with calming flavors."
121,"Green Tea",3.00,100,"","Steamed green tea leaves brewed to perfection."
122,"Black Iced Tea",3.25,90,"","Chilled black tea served with lemon."
123,"Strawberry Lemonade",4.00,85,"","Sweet lemonade infused with fresh strawberries."
124,"Iced Americano",3.50,95,"","Espresso with cold water and ice."
125,"Chocolate Milkshake",5.75,60,"","Classic chocolate milkshake made with ice cream."
126,"Vanilla Protein Shake",6.00,50,"","High-protein vanilla shake with almond milk."
127,"Coconut Water",3.50,90,"","Naturally hydrating coconut water."
128,"Iced Mocha",4.75,85,"","Espresso, chocolate syrup, and milk served over ice."
129,"Turmeric Latte",5.00,70,"","Spiced latte made with turmeric, cinnamon, and oat milk."
130,"Peach Iced Tea",3.50,90,"","Black tea with a hint of peach and ice."
131,"Caramel Frappuccino",5.95,60,"","Blended iced coffee with caramel and whipped cream."
132,"Watermelon Juice",4.25,80,"","Refreshing juice made from fresh watermelon."
133,"Hibiscus Iced Tea",3.75,85,"","Tart and floral hibiscus tea served cold."
134,"Almond Milk Latte",4.25,80,"","Espresso with steamed almond milk."
135,"Kombucha",4.95,70,"","Fermented tea drink with probiotics and a tangy taste."
136,"Oat Milk Cold Brew",5.25,75,"","Cold brew coffee mixed with creamy oat milk."
137,"Lemon Ginger Shot",2.95,100,"","A small, spicy wellness shot with lemon and ginger."
138,"Mint Mojito Mocktail",4.50,65,"","Non-alcoholic mojito with mint, lime, and soda."
139,"Pineapple Smoothie",5.00,70,"","Pineapple, banana, and coconut milk blended together."
